"permanencia","taxa_reprovacao","permanencia_por_semestre","quant_matricula","status"
1.28,0.19,1.25,36.0,1
0.18,0.36,0.12,5.0,-1
1.44,0.3,1.5,41.0,1
1.46,0.25,2.0,42.0,-1
0.51,0.23,0.38,14.0,-1
0.44,0.56,0.5,12.0,1
0.26,0.25,0.25,7.0,-1
1.13,0.2,1.12,32.0,1
0.82,0.38,0.88,22.0,-1
0.18,0.27,0.12,5.0,-1
0.16,0.0,0.38,5.0,-1
0.69,0.57,0.88,19.0,-1
1.03,0.03,1.0,30.0,1
0.18,1.0,0.12,5.0,-1
1.0,0.0,1.0,29.0,1
0.2,0.42,0.25,5.0,-1
0.18,0.0,0.12,5.0,-1
1.03,0.03,1.12,30.0,1
0.72,0.45,0.88,20.0,-1
1.02,0.11,0.88,29.0,-1
0.18,0.0,0.12,5.0,-1
0.3,0.0,0.25,8.0,1
0.92,0.54,0.88,25.0,-1
0.18,1.0,0.12,5.0,-1
0.33,0.4,0.25,9.0,1
1.0,0.18,1.12,28.0,1
0.18,1.0,0.12,5.0,-1
0.36,0.59,0.38,10.0,-1
1.33,0.22,1.62,39.0,1
0.38,0.39,0.38,10.0,-1
1.34,0.4,1.62,38.0,-1
0.18,1.0,0.12,5.0,-1
0.23,0.64,0.25,6.0,-1
0.82,0.28,0.88,24.0,1
0.39,0.29,0.5,11.0,1
0.48,0.1,0.38,13.0,-1
1.03,0.03,1.12,30.0,1
0.33,0.1,0.25,9.0,1
1.03,0.03,1.0,30.0,1
0.67,0.0,0.5,19.0,1
0.18,0.0,0.12,5.0,-1
1.23,0.19,1.38,35.0,1
0.49,0.17,0.75,13.0,-1
1.26,0.16,1.38,36.0,1
0.18,0.0,0.12,5.0,-1
0.39,0.12,0.5,10.0,-1
1.05,0.0,0.88,30.0,-1
0.3,0.39,0.25,8.0,1
0.49,0.07,0.5,13.0,-1
0.18,1.0,0.12,5.0,-1
0.64,0.0,0.5,18.0,1
0.18,1.0,0.12,5.0,-1
0.33,0.3,0.25,9.0,1
0.3,0.11,0.25,8.0,1
0.82,0.24,0.75,24.0,-1
0.8,0.22,0.88,23.0,1
0.3,0.0,0.25,8.0,1
0.95,0.31,1.0,27.0,-1
0.52,0.66,0.5,14.0,-1
0.44,0.07,0.38,12.0,-1
0.41,0.8,0.38,11.0,-1
0.23,0.5,0.12,6.0,-1
1.25,0.22,1.38,35.0,1
0.11,1.0,0.12,3.0,-1
0.3,0.0,0.25,8.0,1
1.0,0.0,1.0,29.0,1
0.64,0.13,0.62,18.0,-1
0.23,0.64,0.25,6.0,-1
0.18,1.0,0.12,5.0,-1
1.34,0.17,1.38,38.0,1
0.18,1.0,0.12,5.0,-1
1.23,0.16,1.25,35.0,-1
1.25,0.2,1.25,36.0,-1
0.36,0.32,0.5,10.0,-1
0.18,0.0,0.12,5.0,-1
0.33,0.8,0.25,9.0,-1
0.18,0.18,0.12,5.0,-1
1.3,0.23,1.25,38.0,-1
0.3,0.0,0.25,8.0,1
1.0,0.0,1.0,29.0,1
1.34,0.26,1.5,39.0,-1
1.03,0.03,1.0,30.0,-1
0.26,0.0,0.12,7.0,-1
0.36,0.41,0.25,10.0,-1
0.67,0.0,0.5,19.0,1
1.26,0.21,1.62,36.0,-1
0.64,0.46,0.88,18.0,-1
0.1,0.33,0.25,3.0,1
0.18,0.0,0.12,5.0,-1
0.33,0.0,0.25,9.0,-1
0.44,0.0,0.38,12.0,-1
0.18,1.0,0.12,5.0,-1
0.26,0.0,0.25,7.0,-1
1.43,0.26,1.5,40.0,1
0.48,0.45,0.38,13.0,-1
0.69,0.4,0.62,19.0,-1
0.77,0.26,0.75,21.0,-1
0.18,0.0,0.12,5.0,-1
0.18,1.0,0.12,5.0,-1
1.02,0.18,1.12,29.0,-1
0.67,0.61,0.62,18.0,-1
0.56,0.06,0.75,17.0,1
1.3,0.42,1.38,37.0,-1
0.18,1.0,0.12,5.0,-1
0.92,0.39,1.25,26.0,1
0.44,0.48,0.5,12.0,1
0.18,0.0,0.12,5.0,-1
0.18,0.18,0.12,5.0,-1
1.39,0.28,1.62,41.0,-1
0.72,0.2,0.62,20.0,-1
1.18,0.08,1.12,34.0,1
0.33,0.2,0.25,9.0,1
0.54,0.18,0.5,15.0,-1
