"ano_ingresso","ano","media_final","descricao","nome","ch_total","status"
2009.0,20092.0,7.2,1.0,17.0,90.0,-1.0
2009.0,20092.0,7.1,1.0,17.0,90.0,-1.0
2009.0,20092.0,9.3,1.0,17.0,90.0,1.0
2009.0,20092.0,-4.0,-2.0,17.0,90.0,-1.0
2009.0,20092.0,7.0,1.0,17.0,90.0,1.0
2009.0,20092.0,5.4,1.0,17.0,90.0,-1.0
2009.0,20092.0,8.5,1.0,17.0,90.0,-1.0
2009.0,20092.0,8.3,1.0,17.0,90.0,-1.0
2009.0,20092.0,8.3,1.0,17.0,90.0,1.0
2009.0,20092.0,8.0,1.0,17.0,90.0,-1.0
2009.0,20092.0,5.2,1.0,17.0,90.0,-1.0
2009.0,20092.0,7.5,1.0,17.0,90.0,-1.0
2009.0,20092.0,6.5,1.0,17.0,90.0,-1.0
2009.0,20092.0,-4.0,-2.0,17.0,90.0,-1.0
2009.0,20092.0,7.3,1.0,17.0,90.0,-1.0
2009.0,20092.0,6.2,1.0,17.0,90.0,-1.0
2009.0,20092.0,5.0,1.0,17.0,90.0,-1.0
2009.0,20092.0,5.4,1.0,17.0,90.0,-1.0
2009.0,20092.0,7.4,1.0,17.0,90.0,1.0
2009.0,20092.0,5.0,1.0,17.0,90.0,-1.0
2009.0,20092.0,5.9,1.0,17.0,90.0,-1.0
2009.0,20092.0,7.8,1.0,1.0,90.0,-1.0
2009.0,20092.0,5.0,1.0,1.0,90.0,-1.0
2009.0,20092.0,0.0,-1.0,1.0,90.0,-1.0
2009.0,20092.0,2.8,-1.0,1.0,90.0,-1.0
2009.0,20092.0,5.0,1.0,1.0,90.0,-1.0
2009.0,20092.0,6.5,1.0,27.0,60.0,-1.0
2009.0,20092.0,8.8,1.0,27.0,60.0,1.0
2009.0,20092.0,8.4,1.0,27.0,60.0,1.0
2009.0,20092.0,8.2,1.0,27.0,60.0,-1.0
2009.0,20092.0,9.1,1.0,27.0,60.0,1.0
2009.0,20092.0,6.2,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.0,1.0,27.0,60.0,1.0
2009.0,20092.0,7.6,1.0,27.0,60.0,-1.0
2009.0,20092.0,8.7,1.0,27.0,60.0,1.0
2009.0,20092.0,7.0,1.0,27.0,60.0,1.0
2009.0,20092.0,7.4,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.3,1.0,27.0,60.0,-1.0
2009.0,20092.0,8.7,1.0,27.0,60.0,-1.0
2009.0,20092.0,8.1,1.0,27.0,60.0,1.0
2009.0,20092.0,7.4,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.1,1.0,27.0,60.0,-1.0
2009.0,20092.0,9.1,1.0,27.0,60.0,-1.0
2009.0,20092.0,7.0,1.0,27.0,60.0,-1.0
2009.0,20092.0,8.1,1.0,27.0,60.0,1.0
2009.0,20092.0,7.5,1.0,27.0,60.0,1.0
2009.0,20092.0,8.0,1.0,27.0,60.0,1.0
