"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1151166";"01";"";"8236";"";"2055631";"30";"LATO SENSU";"";"CTGÁS-ER";"2012";"2";"2010/06/30 00:00:00.000";"2010/07/03 00:00:00.000";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"false";"2012/05/28 12:20:37.166000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176730";"01";"347667";"";"";"45085";"20";"LATO SENSU";"";"Sala 7B5";"2012";"2";"2012/10/05 00:00:00.000";"2012/10/07 00:00:00.000";"17M2345  7T3456  6N12345";"";"50";"REGULAR";"false";"2013/02/06 09:52:06.078000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176817";"01";"2566657";"";"";"47017";"8";"LATO SENSU";"";"CTGAS-ER";"2012";"2";"2012/07/30 00:00:00.000";"2012/08/12 00:00:00.000";"17M2345  7T3456  23456N234";"";"40";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1176817";"01";"347565";"";"";"47017";"3";"LATO SENSU";"";"CTGAS-ER";"2012";"2";"2012/07/30 00:00:00.000";"2012/08/12 00:00:00.000";"17M2345  7T3456  23456N234";"";"40";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1176817";"01";"2579664";"";"";"47017";"8";"LATO SENSU";"";"CTGAS-ER";"2012";"2";"2012/07/30 00:00:00.000";"2012/08/12 00:00:00.000";"17M2345  7T3456  23456N234";"";"40";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1176817";"01";"1577068";"";"";"47017";"8";"LATO SENSU";"";"CTGAS-ER";"2012";"2";"2012/07/30 00:00:00.000";"2012/08/12 00:00:00.000";"17M2345  7T3456  23456N234";"";"40";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1176818";"01";"347303";"";"";"46459";"30";"LATO SENSU";"";"CTGA-ER";"2012";"2";"2012/08/27 00:00:00.000";"2012/09/16 00:00:00.000";"17M2345  7T3456  23456N234";"";"40";"REGULAR";"false";"2013/02/18 21:04:55.052000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176844";"01";"1597497";"";"";"46612";"30";"LATO SENSU";"";"ctgas-er";"2012";"2";"2012/07/02 00:00:00.000";"2012/07/15 00:00:00.000";"17M2345  7T3456  23456N234";"";"41";"REGULAR";"false";"2013/06/03 23:37:46.372000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1186153";"01";"1169358";"";"";"44919";"20";"LATO SENSU";"";"MATO GRANDE";"2012";"2";"2012/07/14 00:00:00.000";"2012/07/15 00:00:00.000";"17M2345  17T123456";"";"50";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1186154";"01";"";"8630";"";"44918";"20";"LATO SENSU";"";"MATO GRANDE";"2012";"2";"2012/07/28 00:00:00.000";"2012/07/29 00:00:00.000";"17M2345  17T123456";"";"50";"REGULAR";"false";"2013/01/25 15:34:27.002000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1186471";"01";"1319262";"";"";"42931";"40";"LATO SENSU";"";"ESCOLA DE MÚSICA";"2012";"2";"2012/09/17 00:00:00.000";"2012/09/21 00:00:00.000";"23456N1234";"";"20";"REGULAR";"false";"2012/12/27 19:59:49.198000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1186508";"01";"2307755";"";"";"42858";"14";"LATO SENSU";"";"NESC e Escola de Enfermagem de Natal";"2012";"2";"2012/10/15 00:00:00.000";"2012/10/19 00:00:00.000";"23456M2345  23456T2345";"";"40";"REGULAR";"false";"2012/11/23 13:06:38.191000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1186508";"01";"2344942";"";"";"42858";"13";"LATO SENSU";"";"NESC e Escola de Enfermagem de Natal";"2012";"2";"2012/10/15 00:00:00.000";"2012/10/19 00:00:00.000";"23456M2345  23456T2345";"";"40";"REGULAR";"false";"2012/11/23 13:06:38.191000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
