"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1159813";"01";"2553739";"";"";"42524";"40";"LATO SENSU";"";"Escola de Musica UFRN";"2011";"2";"2011/08/22 00:00:00.000";"2011/08/31 00:00:00.000";"2N1234";"";"55";"REGULAR";"false";"2011/11/23 11:37:09.507000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1160134";"01";"1205730";"";"";"42125";"20";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2011";"2";"2011/07/01 00:00:00.000";"2011/07/03 00:00:00.000";"567M2345  67T3456";"";"45";"REGULAR";"false";"2012/05/21 13:13:16.294000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1160136";"01";"1321136";"";"";"42128";"20";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2011";"2";"2011/10/07 00:00:00.000";"2011/10/09 00:00:00.000";"7M2345  67T3456  56N1234";"";"45";"REGULAR";"false";"2012/05/21 13:42:42.042000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1160137";"01";"1753441";"";"";"42130";"20";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2011";"2";"2011/11/04 00:00:00.000";"2011/11/06 00:00:00.000";"567M2345  67T3456";"";"45";"REGULAR";"false";"2012/05/21 14:13:12.945000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1160138";"01";"6350812";"";"";"42132";"20";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2011";"2";"2011/12/02 00:00:00.000";"2011/12/04 00:00:00.000";"7M2345  67T3456  56N2345";"";"45";"REGULAR";"false";"2012/05/21 14:04:41.305000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1161092";"01";"1161816";"";"";"42174";"40";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011/08/01 00:00:00.000";"2011/08/06 00:00:00.000";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"false";"2012/01/09 18:41:22.219000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1161093";"01";"1714249";"";"";"42175";"40";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011/07/04 00:00:00.000";"2011/07/09 00:00:00.000";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"false";"2011/10/03 10:44:12.687000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1161094";"01";"1714249";"";"";"42173";"20";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011/09/19 00:00:00.000";"2011/09/24 00:00:00.000";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"false";"2012/01/10 09:30:43.678000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1161094";"01";"1169475";"";"";"42173";"20";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011/09/19 00:00:00.000";"2011/09/24 00:00:00.000";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"false";"2012/01/10 09:30:43.678000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1161095";"01";"1149620";"";"";"42177";"40";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011/10/03 00:00:00.000";"2011/10/08 00:00:00.000";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"false";"2012/01/10 09:26:48.435000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1162532";"02";"3488263";"";"TURMA DE FÉRIAS - JUNHO/JULHO 2011";"2036900";"30";"TÉCNICO";"";"LABORATÓRIO DE INFORMÁTICA - EEN";"2011";"2";"2011/07/11 00:00:00.000";"2011/07/22 00:00:00.000";"23456M23456";"";"20";"REGULAR";"false";"2011/08/03 11:55:57.553000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1162532";"02";"2304085";"";"TURMA DE FÉRIAS - JUNHO/JULHO 2011";"2036900";"30";"TÉCNICO";"";"LABORATÓRIO DE INFORMÁTICA - EEN";"2011";"2";"2011/07/11 00:00:00.000";"2011/07/22 00:00:00.000";"23456M23456";"";"20";"REGULAR";"false";"2011/08/03 11:55:57.553000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1163520";"01";"";"899";"";"42365";"60";"LATO SENSU";"";"SETOR V SALA F5";"2011";"2";"2011/08/15 00:00:00.000";"2011/08/19 00:00:00.000";"23456N2345";"";"71";"REGULAR";"false";"2012/04/24 09:26:14.652000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1163521";"01";"";"81107";"";"42363";"60";"LATO SENSU";"";"SETOR V SALA F5";"2011";"2";"2011/07/04 00:00:00.000";"2011/07/08 00:00:00.000";"";"";"71";"REGULAR";"false";"2012/04/11 23:32:11.865000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1166045";"01";"1627234";"";"";"24699";"60";"GRADUAÇÃO";"Campus Central";"DECOM";"2011";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"35N12";"11";"30";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1167360";"01";"1803472";"";"";"2053829";"30";"LATO SENSU";"";"";"2011";"2";"2011/08/08 00:00:00.000";"2011/08/29 00:00:00.000";"";"";"";"REGULAR";"true";"2011/10/04 17:24:17.456000000";"false";"";"";"CONSOLIDADA";"";"A Distância"
"1167363";"02";"1803472";"";"";"2053829";"30";"LATO SENSU";"";"";"2011";"2";"2011/08/08 00:00:00.000";"2011/08/29 00:00:00.000";"";"";"";"REGULAR";"true";"2011/10/04 17:29:21.678000000";"false";"";"";"CONSOLIDADA";"";"A Distância"
"1167364";"03";"1803472";"";"";"2053829";"30";"LATO SENSU";"";"";"2011";"2";"2011/08/08 00:00:00.000";"2011/08/29 00:00:00.000";"";"";"";"REGULAR";"true";"2011/10/04 17:37:07.334000000";"false";"";"";"CONSOLIDADA";"";"A Distância"
"1167365";"04";"1803472";"";"";"2053829";"30";"LATO SENSU";"";"";"2011";"2";"2011/08/08 00:00:00.000";"2011/08/29 00:00:00.000";"";"";"";"REGULAR";"true";"2011/10/04 17:45:10.905000000";"false";"";"";"CONSOLIDADA";"";"A Distância"
"1167366";"05";"1803472";"";"";"2053829";"30";"LATO SENSU";"";"";"2011";"2";"2011/08/08 00:00:00.000";"2011/08/29 00:00:00.000";"";"";"";"REGULAR";"true";"2011/10/04 17:51:30.739000000";"false";"";"";"CONSOLIDADA";"";"A Distância"
