"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1151167";"01";"";"8237";"";"2055655";"30";"LATO SENSU";"";"CTGÁS-ER";"2010";"2";"2010/09/01 00:00:00.000";"2010/09/04 00:00:00.000";"56M2345 7M3452  4567T3456  4N34";"";"41";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1151169";"01";"1149451";"";"";"2055625";"30";"LATO SENSU";"";"CTGÁS-ER";"2010";"2";"2010/09/29 00:00:00.000";"2020/10/02 00:00:00.000";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"false";"2011/08/01 10:41:37.106000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151174";"01";"";"8235";"";"2055630";"30";"LATO SENSU";"";"CTGAS-ER";"2010";"2";"2010/07/28 00:00:00.000";"2010/07/31 00:00:00.000";"567M2345  4567T3456  4N34";"";"41";"REGULAR";"false";"2012/02/14 05:37:19.487000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151786";"14";"349728";"";"";"2053815";"30";"LATO SENSU";"";"MARCELINO VIEIRA";"2010";"2";"2010/08/01 00:00:00.000";"2010/09/01 00:00:00.000";"1234567M1234";"";"320";"REGULAR";"true";"";"false";"";"";"EXCLUÍDA";"";"A Distância"
"1151839";"01";"1734630";"";"";"18815";"60";"TÉCNICO";"";"23";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"2T3456";"46";"50";"REGULAR";"false";"2010/12/17 14:51:46.585000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151840";"02";"2453213";"";"";"18815";"60";"TÉCNICO";"";"25";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"2T1234";"2";"50";"REGULAR";"false";"2010/12/17 07:55:32.014000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151841";"03";"347889";"";"";"18815";"60";"TÉCNICO";"";"24";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"2T3456";"40";"50";"REGULAR";"false";"2011/01/11 19:29:16.135000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151842";"01";"1693919";"";"";"18778";"30";"TÉCNICO";"";"LAMUCO";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"2T12";"10";"15";"REGULAR";"false";"2010/12/20 11:21:50.419000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151843";"01";"1288564";"";"";"18729";"30";"TÉCNICO";"";"SALA 21";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"2T12";"8";"30";"REGULAR";"false";"2010/12/20 08:55:45.864000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151844";"01";"1288564";"";"";"2047753";"45";"TÉCNICO";"";"21";"2010";"2";"2010/08/09 00:00:00.000";"2010/09/24 00:00:00.000";"2N234";"";"10";"REGULAR";"false";"2010/12/20 11:51:04.035000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151845";"01";"1174208";"";"";"18652";"45";"TÉCNICO";"";"F";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T456";"3";"3";"REGULAR";"false";"2010/12/22 14:46:19.464000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151846";"02";"1279611";"";"";"18652";"45";"TÉCNICO";"";"6";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T56  4N1";"4";"3";"REGULAR";"false";"2010/12/11 18:30:03.669000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151847";"03";"1279611";"";"";"18652";"45";"TÉCNICO";"";"6";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3T56  3N1";"1";"3";"REGULAR";"false";"2010/12/11 18:19:10.028000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151848";"01";"1279611";"";"";"18654";"45";"TÉCNICO";"";"6";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T234";"3";"3";"REGULAR";"false";"2010/12/11 18:42:32.574000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151849";"02";"1174208";"";"";"18654";"45";"TÉCNICO";"";"F";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3T456";"2";"3";"REGULAR";"false";"2010/12/22 14:52:34.959000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151850";"03";"1174208";"";"";"18654";"45";"TÉCNICO";"";"F";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T123";"2";"3";"REGULAR";"false";"2010/12/22 15:03:17.624000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151851";"01";"1174208";"";"'CANTO'";"18831";"45";"TÉCNICO";"";"F";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"5T456";"1";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1151852";"01";"1319262";"";"";"18721";"30";"TÉCNICO";"";"LAMUCO";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3T45";"18";"30";"REGULAR";"false";"2010/12/29 09:54:45.325000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151853";"01";"1808640";"";"";"18761";"30";"TÉCNICO";"";"21";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3T12";"20";"40";"REGULAR";"false";"2010/12/16 17:53:40.944000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151854";"01";"1673193";"";"";"18798";"45";"TÉCNICO";"";"A";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"5T456";"1";"3";"REGULAR";"false";"2010/12/21 14:59:20.885000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151855";"02";"1149517";"";"";"18798";"45";"TÉCNICO";"";"8";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T456";"4";"4";"REGULAR";"false";"2010/12/22 16:31:00.111000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151856";"03";"1731258";"";"";"18798";"45";"TÉCNICO";"";"9";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"6T456";"1";"3";"REGULAR";"false";"2010/12/17 18:41:32.894000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151857";"04";"2453213";"";"";"18798";"45";"TÉCNICO";"";"7";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T456";"";"3";"REGULAR";"false";"2010/12/17 07:56:01.619000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151858";"05";"2432978";"";"";"18798";"45";"TÉCNICO";"";"Q";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T123";"2";"3";"REGULAR";"false";"2010/12/29 16:23:05.666000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151859";"06";"1693919";"";"";"18798";"45";"TÉCNICO";"";"5";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T456";"1";"3";"REGULAR";"false";"2010/12/20 11:29:04.929000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151860";"07";"1280456";"";"";"18798";"45";"TÉCNICO";"";"M";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3T123";"3";"3";"REGULAR";"false";"2010/12/21 15:16:37.193000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151861";"08";"1280466";"";"";"18798";"45";"TÉCNICO";"";"P";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T123";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1151863";"10";"350611";"";"";"18798";"45";"TÉCNICO";"";"M";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3M123";"3";"3";"REGULAR";"false";"2010/12/21 07:36:04.504000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151864";"11";"1783433";"";"";"18798";"45";"TÉCNICO";"";"15";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"2M456";"4";"4";"REGULAR";"false";"2010/12/27 23:25:21.821000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151865";"12";"";"7331";"";"18798";"45";"TÉCNICO";"";"17";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3T123";"3";"3";"REGULAR";"false";"2011/01/11 09:51:09.670000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151866";"13";"2694437";"";"";"18798";"45";"TÉCNICO";"";"MC";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"5T123";"";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1151867";"14";"1281061";"";"";"18798";"45";"TÉCNICO";"";"17";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3T456";"1";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1151868";"15";"1301266";"";"";"18798";"45";"TÉCNICO";"";"L";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T123";"2";"3";"REGULAR";"false";"2010/12/15 15:19:32.540000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151869";"16";"1301266";"";"";"18798";"45";"TÉCNICO";"";"L";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"4T456";"3";"3";"REGULAR";"false";"2010/12/15 15:26:56.819000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151870";"17";"2477622";"";"";"18798";"45";"TÉCNICO";"";"T";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"5T123";"2";"3";"REGULAR";"false";"2010/12/26 23:28:05.269000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151871";"18";"1518400";"";"";"18798";"45";"TÉCNICO";"";"14";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"5T123";"2";"4";"REGULAR";"false";"2010/12/10 21:52:32.668000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1151872";"19";"1627429";"";"";"18798";"45";"TÉCNICO";"";"false";"2010";"2";"2010/08/09 00:00:00.000";"2010/12/22 00:00:00.000";"3M456";"1";"3";"REGULAR";"false";"2010/12/13 00:42:10.355000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
