"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57663324";"02";"3159948";"";"";"57489";"60";"GRADUAÇÃO";"Campus Central";"FORMATO REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567T34";"0";"25";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57663324";"02";"3142063";"";"";"57489";"60";"GRADUAÇÃO";"Campus Central";"FORMATO REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567T34";"0";"25";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57663325";"01";"3118153";"";"";"43051";"60";"GRADUAÇÃO";"Campus Caicó";"Ambiente virtual";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"24T56  24N1234";"42";"35";"REGULAR";"false";"2020/07/29 22:06:57.047000000";"false";"";"84";"CONSOLIDADA";"";"Presencial"
"57663326";"02";"1453487";"";"";"67813";"60";"GRADUAÇÃO";"Campus Central";"Remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"24T3456 6T456";"8";"30";"REGULAR";"false";"2020/07/31 13:56:07.189000000";"false";"";"74";"CONSOLIDADA";"";"Presencial"
"57663327";"01";"2277360";"";"";"53713";"75";"GRADUAÇÃO";"";"MULTIPOLO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"";"5";"10";"REGULAR";"true";"2020/07/27 12:49:03.970000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57663328";"03";"1646718";"";"";"57489";"60";"GRADUAÇÃO";"Campus Central";"FORMATO REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567N12";"0";"30";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57663328";"03";"1033409";"";"";"57489";"60";"GRADUAÇÃO";"Campus Central";"FORMATO REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567N12";"0";"30";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57663329";"01";"2227229";"";"Ensino Remoto.";"48056";"60";"GRADUAÇÃO";"Campus Currais Novos";"CERES - Currais Novos";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567N12";"24";"30";"REGULAR";"false";"2020/07/30 10:52:29.885000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57663330";"01";"2227229";"";"Ensino Remoto.";"48126";"60";"GRADUAÇÃO";"Campus Currais Novos";"CERES - Currais Novos";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567N34";"16";"25";"REGULAR";"false";"2020/07/30 10:50:49.723000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57663331";"01";"2261797";"";"";"2043350";"60";"GRADUAÇÃO";"Campus Central";"Remoto";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"4T123456 6T23456";"0";"40";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57663332";"01";"2859852";"";"Ensino Remoto.";"63814";"60";"GRADUAÇÃO";"Campus Currais Novos";"CERES - Currais Novos";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567N34 (15/06/2020 - 29/07/2020)";"24";"60";"REGULAR";"false";"2020/07/28 22:00:18.864000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57663333";"01";"1788270";"";"";"53715";"60";"GRADUAÇÃO";"";"MULTIPOLO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"";"43";"50";"REGULAR";"true";"2020/07/31 21:59:52.924000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57663333";"01";"1518086";"";"";"53715";"60";"GRADUAÇÃO";"";"MULTIPOLO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"";"43";"50";"REGULAR";"true";"2020/07/31 21:59:52.924000000";"false";"";"0";"CONSOLIDADA";"";"A Distância"
"57663334";"01";"1630654";"";"";"57490";"15";"GRADUAÇÃO";"Campus Central";"FORMATO REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"5N3 6N34";"0";"120";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57663335";"01";"1802395";"";"Ensino Remoto.";"47963";"60";"GRADUAÇÃO";"Campus Currais Novos";"CERES - Currais Novos";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567N12";"31";"50";"REGULAR";"false";"2020/07/30 10:40:51.774000000";"false";"";"74";"CONSOLIDADA";"";"Presencial"
"57663336";"01";"1841616";"";"";"57495";"60";"GRADUAÇÃO";"Campus Central";"FORMATO REMOTO";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567N12";"0";"30";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57663337";"01";"3124435";"";"Ensino Remoto.";"48046";"60";"GRADUAÇÃO";"Campus Currais Novos";"CERES - Currais Novos";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234567N34";"24";"25";"REGULAR";"false";"2020/07/29 22:10:00.710000000";"false";"";"72";"CONSOLIDADA";"";"Presencial"
"57663338";"01";"3060995";"";"";"63158";"30";"GRADUAÇÃO";"Campus Central";"Escola de Música";"2020";"5";"2020/06/15 00:00:00.000";"2020/07/29 00:00:00.000";"234M12";"30";"30";"REGULAR";"false";"2020/08/08 16:36:03.670000000";"false";"";"40";"CONSOLIDADA";"";"Presencial"
