"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1160139";"01";"347529";"";"";"42133";"20";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2012";"1";"2012/02/12 00:00:00.000";"2012/02/14 00:00:00.000";"567M2345  67T3456";"";"45";"REGULAR";"false";"2012/05/23 10:14:11.424000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176608";"01";"1306690";"";"";"45084";"10";"LATO SENSU";"";"Sala 7B5";"2012";"1";"2012/01/27 00:00:00.000";"2012/01/29 00:00:00.000";"17M2345  7T3456  6N12345";"";"50";"REGULAR";"false";"2013/02/06 09:42:54.702000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176608";"01";"347235";"";"";"45084";"10";"LATO SENSU";"";"Sala 7B5";"2012";"1";"2012/01/27 00:00:00.000";"2012/01/29 00:00:00.000";"17M2345  7T3456  6N12345";"";"50";"REGULAR";"false";"2013/02/06 09:42:54.702000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176812";"01";"1249023";"";"";"46611";"30";"LATO SENSU";"";"CTGAS-ER";"2012";"1";"2012/02/06 00:00:00.000";"2012/02/19 00:00:00.000";"17M2345  7T3456  23456N234";"";"40";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1176813";"01";"";"8237";"";"46320";"30";"LATO SENSU";"";"CTGAS-ER";"2012";"1";"2012/03/05 00:00:00.000";"2012/03/18 00:00:00.000";"17M2345  7T3456  23456N234";"";"40";"REGULAR";"false";"2013/06/14 10:15:28.420000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176814";"01";"1235107";"";"";"46671";"20";"LATO SENSU";"";"CTGAS-ER";"2012";"1";"2012/03/26 00:00:00.000";"2012/03/30 00:00:00.000";"23456N1234";"";"41";"REGULAR";"false";"2012/07/06 15:51:42.056000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176815";"01";"";"8234";"";"46316";"30";"LATO SENSU";"";"CTGAS-ER";"2012";"1";"2012/04/09 00:00:00.000";"2012/04/29 00:00:00.000";"17M2345  7T3456  23456N234";"";"40";"REGULAR";"false";"2013/06/14 09:57:17.367000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176816";"01";"";"8747";"";"46607";"15";"LATO SENSU";"";"CTGAS-ER";"2012";"1";"2012/05/07 00:00:00.000";"2012/05/20 00:00:00.000";"17M2345  7T3456  23456N234";"";"41";"REGULAR";"false";"2013/01/28 10:13:34.562000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176816";"01";"";"8653";"";"46607";"15";"LATO SENSU";"";"CTGAS-ER";"2012";"1";"2012/05/07 00:00:00.000";"2012/05/20 00:00:00.000";"17M2345  7T3456  23456N234";"";"41";"REGULAR";"false";"2013/01/28 10:13:34.562000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176843";"01";"1637588";"";"";"46458";"8";"LATO SENSU";"";"ctgas-er";"2012";"1";"2012/06/04 00:00:00.000";"2012/06/17 00:00:00.000";"17M2345  7T3456  23456N234";"";"41";"REGULAR";"false";"2014/01/24 17:04:08.979000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176843";"01";"";"8746";"";"46458";"6";"LATO SENSU";"";"ctgas-er";"2012";"1";"2012/06/04 00:00:00.000";"2012/06/17 00:00:00.000";"17M2345  7T3456  23456N234";"";"41";"REGULAR";"false";"2014/01/24 17:04:08.979000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176843";"01";"2524488";"";"";"46458";"8";"LATO SENSU";"";"ctgas-er";"2012";"1";"2012/06/04 00:00:00.000";"2012/06/17 00:00:00.000";"17M2345  7T3456  23456N234";"";"41";"REGULAR";"false";"2014/01/24 17:04:08.979000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176843";"01";"";"8745";"";"46458";"8";"LATO SENSU";"";"ctgas-er";"2012";"1";"2012/06/04 00:00:00.000";"2012/06/17 00:00:00.000";"17M2345  7T3456  23456N234";"";"41";"REGULAR";"false";"2014/01/24 17:04:08.979000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176871";"01";"1753603";"";"";"46882";"30";"LATO SENSU";"";"CAMPUS UNIVERSITARIO - VF5";"2012";"1";"2012/02/13 00:00:00.000";"2012/02/18 00:00:00.000";"7M12345  23456N12345";"";"72";"REGULAR";"false";"2012/06/28 11:19:27.484000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176941";"01";"1149610";"";"";"44026";"15";"LATO SENSU";"";"AUDITÓRIO DO DEPARTAMENTO DE FISIOTERAPIA";"2012";"1";"2012/04/20 00:00:00.000";"2012/04/22 00:00:00.000";"7M2345  7T3456  6N1234";"";"47";"REGULAR";"false";"2012/06/26 09:59:05.202000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176941";"01";"1216466";"";"";"44026";"15";"LATO SENSU";"";"AUDITÓRIO DO DEPARTAMENTO DE FISIOTERAPIA";"2012";"1";"2012/04/20 00:00:00.000";"2012/04/22 00:00:00.000";"7M2345  7T3456  6N1234";"";"47";"REGULAR";"false";"2012/06/26 09:59:05.202000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176990";"01";"1734630";"";"";"18814";"60";"TÉCNICO";"";"Sala 25";"2012";"1";"2012/02/13 00:00:00.000";"2012/07/13 00:00:00.000";"2T1234";"10";"44";"REGULAR";"false";"2012/07/07 19:59:14.850000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"1176991";"02";"350610";"";"";"18814";"60";"TÉCNICO";"";"23";"2012";"1";"2012/02/13 00:00:00.000";"2012/07/13 00:00:00.000";"2T3456";"";"50";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"1176992";"03";"1734630";"";"";"18814";"60";"TÉCNICO";"";"Sala 24";"2012";"1";"2012/02/13 00:00:00.000";"2012/07/13 00:00:00.000";"4T1234";"3";"40";"REGULAR";"false";"2012/07/04 13:04:40.227000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
