"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57553318";"10";"1149636";"";"";"39179";"15";"STRICTO SENSU";"";"SETOR V/UFRN";"2010";"1";"2010/03/08 00:00:00.000";"2010/07/09 00:00:00.000";"3T6";"3";"1";"REGULAR";"false";"2011/09/16 09:48:15.613000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"57553319";"11";"350462";"";"";"39179";"15";"STRICTO SENSU";"";"SETOR V/UFRN";"2010";"1";"2010/03/08 00:00:00.000";"2010/07/09 00:00:00.000";"3T6";"2";"2";"REGULAR";"false";"2011/02/01 12:55:41.175000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"57553320";"12";"6350650";"";"";"39179";"15";"STRICTO SENSU";"";"SETOR V/UFRN";"2010";"1";"2010/03/08 00:00:00.000";"2010/07/09 00:00:00.000";"3T6";"3";"3";"REGULAR";"false";"2011/10/27 10:31:24.669000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"57553321";"13";"";"1022";"";"39179";"15";"STRICTO SENSU";"";"SETOR V/UFRN";"2010";"1";"2010/03/08 00:00:00.000";"2010/07/09 00:00:00.000";"3T6";"1";"1";"REGULAR";"false";"2012/02/09 10:14:42.317000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"57553322";"14";"1359083";"";"";"39179";"15";"STRICTO SENSU";"";"SETOR V/UFRN";"2010";"1";"2010/03/08 00:00:00.000";"2010/07/09 00:00:00.000";"4T6";"1";"1";"REGULAR";"false";"2010/07/12 13:13:16.469000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"57553323";"15";"346478";"";"";"39179";"15";"STRICTO SENSU";"";"SETOR V/UFRN";"2010";"1";"2010/03/08 00:00:00.000";"2010/07/09 00:00:00.000";"4T6";"2";"3";"REGULAR";"false";"2010/07/02 17:10:16.989000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"57553324";"01";"1350250";"";"";"40501";"60";"STRICTO SENSU";"";"3D5";"2010";"1";"2010/02/22 00:00:00.000";"2010/07/09 00:00:00.000";"35M12";"";"5";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57553325";"02";"2212166";"";"";"40501";"60";"STRICTO SENSU";"";"3D5";"2010";"1";"2010/02/22 00:00:00.000";"2010/07/09 00:00:00.000";"35M12";"2";"5";"REGULAR";"false";"2010/08/02 09:46:54.388000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
"57553326";"03";"1201268";"";"";"40501";"60";"STRICTO SENSU";"";"3D5";"2010";"1";"2010/02/22 00:00:00.000";"2010/07/09 00:00:00.000";"35M34";"";"5";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57553327";"04";"";"3013";"";"40501";"60";"STRICTO SENSU";"";"3D5";"2010";"1";"2010/02/22 00:00:00.000";"2010/07/09 00:00:00.000";"35M12";"1";"5";"REGULAR";"false";"2010/08/17 11:57:38.878000000";"false";"";"";"CONSOLIDADA";"";"Presencial"
