"ano_ingresso","homem","mulher","ch_cumprida","ch_cumprida_dividida","ch_reprovacao","taxa_reprovacao","semestre_total","semestre_dividido","matricula","tempo_relativo"
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2014,0,1,1830,1.0,60.0,0.03,8,1.0,29.0,1.0
2019,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2021,1,0,540,0.3,0.0,0.0,2,0.25,8.0,-0.25
2010,1,0,2340,1.28,420.0,0.18,11,1.38,36.0,-1.38
2021,0,1,480,0.26,90.0,0.19,2,0.25,7.0,0.25
2009,1,0,1500,0.82,690.0,0.46,7,0.88,23.0,-0.88
2016,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2013,1,0,390,0.21,210.0,0.54,2,0.25,6.0,-0.25
2013,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2017,1,0,2100,1.15,60.0,0.03,12,1.5,33.0,1.5
2017,1,0,2160,1.18,120.0,0.06,11,1.38,34.0,1.38
2019,1,0,1650,0.9,240.0,0.15,9,1.12,26.0,1.12
2021,0,1,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2014,1,0,1770,0.97,930.0,0.53,9,1.12,26.0,-1.12
2020,1,0,1380,0.75,390.0,0.28,5,0.62,21.0,0.62
2014,1,0,2580,1.41,750.0,0.29,10,1.25,40.0,1.25
2019,1,0,1260,0.69,330.0,0.26,7,0.88,19.0,-0.88
2016,1,0,270,0.15,210.0,0.78,2,0.25,4.0,-0.25
2011,1,0,330,0.18,270.0,0.82,1,0.12,5.0,-0.12
2011,1,0,3180,1.74,960.0,0.3,14,1.75,50.0,-1.75
2016,1,0,2760,1.51,1110.0,0.4,14,1.75,42.0,-1.75
2015,1,0,480,0.26,180.0,0.38,2,0.25,7.0,-0.25
2011,1,0,2160,1.18,210.0,0.1,10,1.25,34.0,1.25
2020,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2010,1,0,2280,1.25,420.0,0.18,10,1.25,35.0,-1.25
2015,1,0,2640,1.44,870.0,0.33,11,1.38,41.0,1.38
2016,1,0,990,0.54,120.0,0.12,4,0.5,15.0,-0.5
2018,1,0,2070,1.13,630.0,0.3,11,1.38,33.0,1.38
2009,1,0,1950,1.07,60.0,0.03,8,1.0,31.0,1.0
2014,0,1,300,0.16,0.0,0.0,2,0.25,4.0,-0.25
2020,1,0,390,0.21,0.0,0.0,3,0.38,6.0,-0.38
2016,1,0,960,0.52,120.0,0.12,5,0.62,14.0,-0.62
2021,1,0,1230,0.67,0.0,0.0,4,0.5,19.0,0.5
2021,1,0,1020,0.56,540.0,0.53,4,0.5,15.0,0.5
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2019,0,1,1500,0.82,840.0,0.56,7,0.88,22.0,-0.88
2012,1,0,2460,1.34,570.0,0.23,12,1.5,38.0,1.5
2016,1,0,420,0.23,210.0,0.5,1,0.12,6.0,-0.12
2013,1,0,2220,1.21,1200.0,0.54,9,1.12,35.0,-1.12
2016,1,0,2130,1.16,360.0,0.17,8,1.0,33.0,1.0
2014,1,0,540,0.3,0.0,0.0,2,0.25,8.0,-0.25
2015,1,0,750,0.41,420.0,0.56,3,0.38,11.0,-0.38
2010,1,0,1350,0.74,150.0,0.11,5,0.62,20.0,-0.62
2015,1,0,2550,1.39,720.0,0.28,14,1.75,40.0,1.75
2022,1,0,600,0.33,330.0,0.55,2,0.25,9.0,0.25
2022,1,0,540,0.3,90.0,0.17,2,0.25,8.0,0.25
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2015,0,1,2100,1.15,210.0,0.1,9,1.12,33.0,1.12
2012,0,1,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2014,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,1,0,2580,1.41,990.0,0.38,13,1.62,41.0,-1.62
2017,1,0,2100,1.15,270.0,0.13,10,1.25,33.0,1.25
2021,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2019,0,1,1140,0.62,180.0,0.16,7,0.88,18.0,0.88
2019,0,1,1050,0.57,450.0,0.43,5,0.62,16.0,-0.62
2019,1,0,1290,0.7,120.0,0.09,4,0.5,19.0,-0.5
2018,1,0,2100,1.15,660.0,0.31,7,0.88,32.0,-0.88
2018,1,0,1770,0.97,0.0,0.0,8,1.0,28.0,1.0
2016,1,0,1230,0.67,60.0,0.05,6,0.75,19.0,-0.75
2014,1,0,1830,1.0,0.0,0.0,7,0.88,29.0,0.88
2013,1,0,1830,1.0,60.0,0.03,9,1.12,29.0,-1.12
2011,1,0,990,0.54,60.0,0.06,4,0.5,15.0,-0.5
2013,1,0,900,0.49,420.0,0.47,4,0.5,13.0,-0.5
2017,1,0,1710,0.93,330.0,0.19,8,1.0,27.0,1.0
2014,0,1,1890,1.03,60.0,0.03,8,1.0,30.0,1.0
2013,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2010,0,1,2790,1.52,780.0,0.28,13,1.62,43.0,-1.62
2020,1,0,1470,0.8,780.0,0.53,6,0.75,22.0,-0.75
2015,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2011,1,0,540,0.3,150.0,0.28,3,0.38,8.0,-0.38
2017,1,0,720,0.39,0.0,0.0,4,0.5,11.0,-0.5
2017,1,0,2520,1.38,540.0,0.21,11,1.38,40.0,1.38
2015,0,1,270,0.15,270.0,1.0,1,0.12,4.0,-0.12
2010,1,0,1920,1.05,480.0,0.25,8,1.0,29.0,-1.0
2013,0,1,1380,0.75,150.0,0.11,5,0.62,21.0,-0.62
2022,1,0,600,0.33,120.0,0.2,2,0.25,9.0,0.25
2022,1,0,540,0.3,180.0,0.33,2,0.25,8.0,0.25
2011,0,1,3210,1.75,1530.0,0.48,14,1.75,50.0,-1.75
2020,1,0,330,0.18,90.0,0.27,1,0.12,5.0,-0.12
2022,1,0,600,0.33,180.0,0.3,2,0.25,9.0,-0.25
2011,1,0,1050,0.57,360.0,0.34,7,0.88,16.0,-0.88
2016,1,0,600,0.33,270.0,0.45,2,0.25,9.0,-0.25
2014,1,0,2340,1.28,450.0,0.19,10,1.25,36.0,1.25
2015,1,0,330,0.18,120.0,0.36,1,0.12,5.0,-0.12
2011,1,0,2640,1.44,780.0,0.3,12,1.5,41.0,1.5
2011,1,0,2670,1.46,660.0,0.25,16,2.0,42.0,-2.0
2011,1,0,930,0.51,210.0,0.23,3,0.38,14.0,-0.38
2021,1,0,810,0.44,450.0,0.56,4,0.5,12.0,0.5
2014,1,0,480,0.26,120.0,0.25,2,0.25,7.0,-0.25
2019,1,0,2070,1.13,420.0,0.2,9,1.12,32.0,1.12
2014,1,0,1500,0.82,570.0,0.38,7,0.88,22.0,-0.88
2015,1,0,330,0.18,90.0,0.27,1,0.12,5.0,-0.12
2012,1,0,300,0.16,0.0,0.0,3,0.38,5.0,-0.38
2011,1,0,1260,0.69,720.0,0.57,7,0.88,19.0,-0.88
2014,1,0,1890,1.03,60.0,0.03,8,1.0,30.0,1.0
2014,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2010,1,0,360,0.2,150.0,0.42,2,0.25,5.0,-0.25
2022,0,1,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2018,1,0,1890,1.03,60.0,0.03,9,1.12,30.0,1.12
2011,0,1,1320,0.72,600.0,0.45,7,0.88,20.0,-0.88
2013,0,1,1860,1.02,210.0,0.11,7,0.88,29.0,-0.88
2022,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2022,1,0,540,0.3,0.0,0.0,2,0.25,8.0,0.25
2014,1,0,1680,0.92,900.0,0.54,7,0.88,25.0,-0.88
2014,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2022,1,0,600,0.33,240.0,0.4,2,0.25,9.0,0.25
2019,0,1,1830,1.0,330.0,0.18,9,1.12,28.0,1.12
2017,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2020,1,0,660,0.36,390.0,0.59,3,0.38,10.0,-0.38
2009,0,1,2430,1.33,540.0,0.22,13,1.62,39.0,1.62
2018,1,0,690,0.38,270.0,0.39,3,0.38,10.0,-0.38
2010,0,1,2460,1.34,990.0,0.4,13,1.62,38.0,-1.62
2013,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2016,1,0,420,0.23,270.0,0.64,2,0.25,6.0,-0.25
2019,1,0,1500,0.82,420.0,0.28,7,0.88,24.0,0.88
2021,1,0,720,0.39,210.0,0.29,4,0.5,11.0,0.5
2021,1,0,870,0.48,90.0,0.1,3,0.38,13.0,-0.38
2016,1,0,1890,1.03,60.0,0.03,9,1.12,30.0,1.12
2022,1,0,600,0.33,60.0,0.1,2,0.25,9.0,0.25
2010,1,0,1890,1.03,60.0,0.03,8,1.0,30.0,1.0
2021,1,0,1230,0.67,0.0,0.0,4,0.5,19.0,0.5
2022,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2010,0,1,2250,1.23,420.0,0.19,11,1.38,35.0,1.38
2009,1,0,900,0.49,150.0,0.17,6,0.75,13.0,-0.75
2011,1,0,2310,1.26,360.0,0.16,11,1.38,36.0,1.38
2013,0,1,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2014,1,0,720,0.39,90.0,0.12,4,0.5,10.0,-0.5
2014,1,0,1920,1.05,0.0,0.0,7,0.88,30.0,-0.88
2022,1,0,540,0.3,210.0,0.39,2,0.25,8.0,0.25
2009,1,0,900,0.49,60.0,0.07,4,0.5,13.0,-0.5
2014,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2021,1,0,1170,0.64,0.0,0.0,4,0.5,18.0,0.5
2014,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2022,1,0,600,0.33,180.0,0.3,2,0.25,9.0,0.25
2022,1,0,540,0.3,60.0,0.11,2,0.25,8.0,0.25
2010,1,0,1500,0.82,360.0,0.24,6,0.75,24.0,-0.75
2020,1,0,1470,0.8,330.0,0.22,7,0.88,23.0,0.88
